PWSName,RegistryID,PWSId,CitiesServed,StateCode,CountiesServed,PWSTypeCode,PrimarySourceCode,PopulationServedCount,QtrsWithVio,SeriousViolator,HealthFlag,RulesVio3yr,Viopaccr,Vioremain,Ifea,Feas,SDWAContaminantsInViol3yr,PbAle,CuAle,DFR URL,cons_demo.COUNTY,cons_demo.ACSTOTPOP,cons_demo.ACSIPOVBAS,cons_demo.25ABOVE,cons_demo.PCT_25ABOVE,cons_demo.PEOPCOLOR,cons_demo.PCT_PEOPCOLOR,cons_demo.LOWINCOME,cons_demo.PCT_LOWINCOME,cons_demo.LESSHS,cons_demo.PCT_LESSHS,cons_demo.LINGISO,cons_demo.PCT_LINGISO,cons_demo.UNDER5,cons_demo.PCT_UNDER5,cons_demo.OVER64,cons_demo.PCT_OVER64,cons_demo.AREALAND,cons_demo.AREAWATER
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2042=Hexachlorocyclopentadiene,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2046=Carbofuran,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2050=Atrazine,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2051=LASSO,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2065=Heptachlor,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2067=Heptachlor epoxide,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,," 2105=2,4-D",,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,," 2110=2,4,5-TP",,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2274=HEXACHLOROBENZENE,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2306=Benzo(a)pyrene,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2326=Pentachlorophenol,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2383=Total Polychlorinated Biphenyls (PCB),,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2456=Total Haloacetic Acids (HAA5),,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,," 2931=1,2-DIBROMO-3-CHLOROPROPANE",,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2946=ETHYLENE DIBROMIDE,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2950=TTHM,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBEVILLE WATER WORKS & SEWER BOARD,110012979839,AL0000657,ABBEVILLE,AL,Henry,CWS,GW,3933,9,No,No,2,3,2,7,, 2959=Chlordane,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000657&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ABBIE CREEK-LAKE G. W. ANDREW,110051121111,AL0001550,,AL,Henry,TNCWS,GW,32,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001550&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ALA. WAREHOUSE/LOWER POOL #2,110051121219,AL0001555,SHORTERVILLE,AL,Henry,NTNCWS,GW,45,12,Yes,No,3,10,8,8,,1040=Nitrate,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001555&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
ALA. WAREHOUSE/LOWER POOL #2,110051121219,AL0001555,SHORTERVILLE,AL,Henry,NTNCWS,GW,45,12,Yes,No,3,10,8,8,, 5000=Lead and Copper Rule,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001555&sys=SDWIS,Henry,17165,16673,12202,0.710865133,5278,0.307486164,6365,0.381754933,2280,0.13282843,12,7.73833E-06,850,0.049519371,3848,0.224177105,1454959642,16953809
AD&G TRAILER PARK,110047815352,AL0000130,JACKSONVILLE,AL,Calhoun,CWS,GW,69,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000130&sys=SDWIS,Calhoun,116425,113294,80263,0.689396607,33352,0.286467683,43567,0.384548167,11867,0.10192828,528,8.75484E-07,6716,0.057685205,20583,0.176791926,1569246126,16536293
ALA  POWER CO/SELMA WAREHOUSE,110050948711,AL0000466,,AL,Dallas,TNCWS,GW,27,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000466&sys=SDWIS,Dallas,39162,38572,26319,0.672054543,28628,0.731014759,19091,0.494944519,3709,0.094709157,38,2.41839E-06,2397,0.061207293,7161,0.18285583,2534919608,39124778
ALABAMA DEPARTMENT OF TRANSPORTATION,110050948828,AL0000475,,AL,Dallas,NTNCWS,GW,25,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000475&sys=SDWIS,Dallas,39162,38572,26319,0.672054543,28628,0.731014759,19091,0.494944519,3709,0.094709157,38,2.41839E-06,2397,0.061207293,7161,0.18285583,2534919608,39124778
ALABAMA METALLURGICAL CORP,110050963392,AL0000485,SELMONT,AL,Dallas,TNCWS,GW,106,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000485&sys=SDWIS,Dallas,39162,38572,26319,0.672054543,28628,0.731014759,19091,0.494944519,3709,0.094709157,38,2.41839E-06,2397,0.061207293,7161,0.18285583,2534919608,39124778
ALABAMA SHERIFFS BOYS RANCH,110047920746,AL0000450,,AL,Dallas,CWS,GW,100,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000450&sys=SDWIS,Dallas,39162,38572,26319,0.672054543,28628,0.731014759,19091,0.494944519,3709,0.094709157,38,2.41839E-06,2397,0.061207293,7161,0.18285583,2534919608,39124778
AKRON WATER DEPARTMENT,110047916261,AL0000644,,AL,Hale,CWS,GW,564,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000644&sys=SDWIS,Hale,14819,14567,10090,0.680882651,9138,0.616640799,7070,0.485343585,1890,0.12753897,0,8.60645E-06,979,0.066063837,2875,0.194007693,1667926655,32403804
"AKRON WATER DEPARTMENT, TOWN OF",110012990923,AL0001767,AKRON,AL,Hale,CWS,GWP,525,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001767&sys=SDWIS,Hale,14819,14567,10090,0.680882651,9138,0.616640799,7070,0.485343585,1890,0.12753897,0,8.60645E-06,979,0.066063837,2875,0.194007693,1667926655,32403804
ADDISON WATER WORKS,110013245942,AL0001402,ADDISON,AL,Winston,CWS,SWP,2598,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001402&sys=SDWIS,Winston,23650,23263,17016,0.7194926,1595,0.06744186,10240,0.440183983,3520,0.148837209,74,6.29333E-06,1194,0.050486258,5074,0.214545455,1587657470,48873867
"AIR ENGINEERS, INC.",110050932853,AL0001256,,AL,Shelby,NTNCWS,GW,30,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001256&sys=SDWIS,Shelby,220780,217555,151072,0.684264879,51915,0.235143582,39897,0.183388109,9632,0.04362714,1011,1.97605E-07,12163,0.055091041,34335,0.155516804,2034279163,62288764
ALABAMA POWER CO. - GASTON STEAM PLANT,110000589097,AL0001154,WILSONVILLE,AL,Shelby,NTNCWS,SW,411,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001154&sys=SDWIS,Shelby,220780,217555,151072,0.684264879,51915,0.235143582,39897,0.183388109,9632,0.04362714,1011,1.97605E-07,12163,0.055091041,34335,0.155516804,2034279163,62288764
ALABASTER WATER BOARD,110012985591,AL0001148,ALABASTER,AL,Shelby,CWS,SWP,41061,3,No,No,3,3,0,5,,2051=LASSO,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001148&sys=SDWIS,Shelby,220780,217555,151072,0.684264879,51915,0.235143582,39897,0.183388109,9632,0.04362714,1011,1.97605E-07,12163,0.055091041,34335,0.155516804,2034279163,62288764
ALABASTER WATER BOARD,110012985591,AL0001148,ALABASTER,AL,Shelby,CWS,SWP,41061,3,No,No,3,3,0,5,, 2456=Total Haloacetic Acids (HAA5),,,https://echo.epa.gov/detailed-facility-report?fid=AL0001148&sys=SDWIS,Shelby,220780,217555,151072,0.684264879,51915,0.235143582,39897,0.183388109,9632,0.04362714,1011,1.97605E-07,12163,0.055091041,34335,0.155516804,2034279163,62288764
ALABASTER WATER BOARD,110012985591,AL0001148,ALABASTER,AL,Shelby,CWS,SWP,41061,3,No,No,3,3,0,5,," 2920=CARBON, TOTAL",,,https://echo.epa.gov/detailed-facility-report?fid=AL0001148&sys=SDWIS,Shelby,220780,217555,151072,0.684264879,51915,0.235143582,39897,0.183388109,9632,0.04362714,1011,1.97605E-07,12163,0.055091041,34335,0.155516804,2034279163,62288764
ALABASTER WATER BOARD,110012985591,AL0001148,ALABASTER,AL,Shelby,CWS,SWP,41061,3,No,No,3,3,0,5,, 2950=TTHM,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001148&sys=SDWIS,Shelby,220780,217555,151072,0.684264879,51915,0.235143582,39897,0.183388109,9632,0.04362714,1011,1.97605E-07,12163,0.055091041,34335,0.155516804,2034279163,62288764
AKZO CHEMIE AMERICAL,110000741243,AL0001020,,AL,Mobile,NTNCWS,GW,250,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001020&sys=SDWIS,Mobile,414620,408140,280280,0.675992475,181616,0.438030003,158729,0.388908218,34027,0.082067918,1257,1.97935E-07,26908,0.064897979,67460,0.162703198,3184064142,1074011171
AL SHERIFF'S BOYS RANCH,110047688846,AL0001083,DANVILLE,AL,Morgan,CWS,GW,36,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001083&sys=SDWIS,Morgan,122608,120432,84768,0.691374135,31011,0.252928031,41308,0.342998539,12983,0.105890317,698,8.63649E-07,7390,0.060273392,21461,0.175037518,1501335536,50196377
ALADDIN MOBILE ESTATES,110047688757,AL0001082,,AL,Morgan,CWS,SWP,93,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001082&sys=SDWIS,Morgan,122608,120432,84768,0.691374135,31011,0.252928031,41308,0.342998539,12983,0.105890317,698,8.63649E-07,7390,0.060273392,21461,0.175037518,1501335536,50196377
AL SHERIFF'S GIRLS RANCH,110047710759,AL0001264,,AL,Tallapoosa,CWS,GW,70,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001264&sys=SDWIS,Tallapoosa,41284,40707,29460,0.713593644,12932,0.313244841,16151,0.396762228,5432,0.131576398,97,3.1871E-06,2359,0.057140781,8857,0.21453832,1855798002,128790974
ALBERTVILLE UTILITIES BOARD,110025360892,AL0000933,ALBERTVILLE,AL,Marshall,CWS,SW,29367,9,No,No,2,2,0,2,,2051=LASSO,,,https://echo.epa.gov/detailed-facility-report?fid=AL0000933&sys=SDWIS,Marshall,97179,95947,64758,0.666378539,19575,0.201432408,37543,0.391288941,10675,0.109848836,1502,1.13038E-06,6830,0.070282674,16393,0.168688708,1465531833,148497637
ALBERTVILLE UTILITIES BOARD,110025360892,AL0000933,ALBERTVILLE,AL,Marshall,CWS,SW,29367,9,No,No,2,2,0,2,," 2920=CARBON, TOTAL",,,https://echo.epa.gov/detailed-facility-report?fid=AL0000933&sys=SDWIS,Marshall,97179,95947,64758,0.666378539,19575,0.201432408,37543,0.391288941,10675,0.109848836,1502,1.13038E-06,6830,0.070282674,16393,0.168688708,1465531833,148497637
ALABAMA RIVER NEWSPRINT COMPANY,110051188433,AL0001694,,AL,Monroe,TNCWS,GW,200,0,No,No,0,0,0,,,,,,https://echo.epa.gov/detailed-facility-report?fid=AL0001694&sys=SDWIS,Monroe,20115,19875,13867,0.68938603,9272,0.46094954,8936,0.449610063,2440,0.121302511,0,6.03045E-06,1023,0.050857569,4089,0.203281133,2656469672,22609681
